"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"MILDNER MAXIME","https://www.qualibat.com/resultat-de-la-recherche/mildner-maxime-151813","M2PI 8 IMP DES ACACIAS, 21110 LONGEAULT","0380712704","m.2pi@orange.fr","8138873460","81388734600019","1",107142,21,"41"
"ENTREPRISE FINOT","https://www.qualibat.com/resultat-de-la-recherche/entreprise-finot-58288","11 RUE TERTRE HAMEAU DE VARENNES, 21210 THOISY LA BERCHERE","0380646099","entfinot@orange.fr","4152269760","41522697600041","5",344299,21,"41"
"BOLLOT-RUMMLER SARL","https://www.qualibat.com/resultat-de-la-recherche/bollot-rummler-sarl-179290","AU GRAVELIN, 21340 THURY","0380202220","laurent.bollot@orange.fr","4521623810","45216238100019","6",489163,21,"41"
"MENUISERIE BERTHELON","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-berthelon-116133","11 RUE DE L'INGENIEUR BERTIN, 21600 LONGVIC","0380671059","contact@menuiserieberthelon.fr","3423128320","34231283200039","11",1110000,21,"41"
"GERMACK LUDOVIC","https://www.qualibat.com/resultat-de-la-recherche/germack-ludovic-183140","14 RUE FYOT DE LA MARCHE, 21000 DIJON","0640298744","ludogermack@gmail.com","7910514850","79105148500021","1",66880,21,"41"
"GUERIN PHILIPPE","https://www.qualibat.com/resultat-de-la-recherche/guerin-philippe-183139","THIL LA VILLE, 21390 NAN SOUS THIL","0677454980","p.guerin60@laposte.net","5109900540","51099005400015","1",39796,21,"41"
"ENTREPRISE LEONARD","https://www.qualibat.com/resultat-de-la-recherche/entreprise-leonard-58256","30 GRANDE RUE, 21400 PRUSLY SUR OURCE","0380910750","sarl.leonard@wanadoo.fr","8367200780","83672007800010","8",439758,21,"41"
"ALPHA PLATRE","https://www.qualibat.com/resultat-de-la-recherche/alpha-platre-71419","3 RUE DE LA BROCHE, 21800 QUETIGNY","0380710504","alpha.platre@orange.fr","3531335310","35313353100023","5",371498,21,"41"
"ASTRAGENCEMENT SARL","https://www.qualibat.com/resultat-de-la-recherche/astragencement-sarl-158513","16 RUE DES VARENNES, 21170 LAPERRIERE SUR SAONE","0636923445","astragencement@hotmail.com","7996921080","79969210800019","1",112173,21,"41"
"OLANDA DANIEL","https://www.qualibat.com/resultat-de-la-recherche/olanda-daniel-58291","10 RUE MARCEL SEMBAT, 21000 DIJON","0380438032","contact@olanda.fr","3787032760","37870327600048","17",1310000,21,"41"
"BAFFY SAS","https://www.qualibat.com/resultat-de-la-recherche/baffy-sas-57915","13 RUE  DR QUIGNARD, 21000 DIJON","0380609100","e.morinthibaut@baffy.fr","4532355410","45323554100035","65",10460000,21,"41"
"BERTHOLLE FABIEN SARL","https://www.qualibat.com/resultat-de-la-recherche/bertholle-fabien-sarl-122135","9 RUE DE CERILLY, 21400 STE COLOMBE SUR SEINE","0380911245","berthollefabien@orange.fr","5243773970","52437739700012","6",521134,21,"41"
"LA FERMETURE","https://www.qualibat.com/resultat-de-la-recherche/la-fermeture-152144","13 RUE DE LA PLUCHARDE, 21110 BRETENIERE","0660469737","b.duthu@lafermeture.fr","8101948450","81019484500022","4",290098,21,"41"
"ROSATI SARL","https://www.qualibat.com/resultat-de-la-recherche/rosati-sarl-152017","10 BIS RUE DES NOVALLES, 21240 TALANT","0380660592","secretariat@rosati.pro","4398517670","43985176700038","9",730337,21,"41"
"TOTAL HABITAT","https://www.qualibat.com/resultat-de-la-recherche/total-habitat-163353","33 RUE DE SAVOISY LE PETIT JAILLY, 21500 TOUILLON","0679044615","total.habitat@free.fr","8221957640","82219576400011","1",160000,21,"41"
"MASSE PIERRE SARL","https://www.qualibat.com/resultat-de-la-recherche/masse-pierre-sarl-58117","23 ROUTE D'AVALLON, 21460 EPOISSES","0380964156","pierre.masse.sarl@wanadoo.fr","4180965330","41809653300025","11",728802,21,"41"
"ROIGT SARL","https://www.qualibat.com/resultat-de-la-recherche/roigt-sarl-174207","9 RUE SISLEY, 21000 DIJON","0625601789","sarlroigt@gmail.com","4539670360","45396703600022","9",388397,21,"41"
"DELICE SARL","https://www.qualibat.com/resultat-de-la-recherche/delice-sarl-174475","ZAC LE GRAND PASQUIER ROUTE D'ESBARRES, 21470 BRAZEY EN PLAINE","0380299921","sarldelice@hotmail.fr","4907358910","49073589100023","5",641854,21,"41"
"AMK RENOV 21","https://www.qualibat.com/resultat-de-la-recherche/amk-renov-21-189489","18 RUE DE LA FORET, 21560 REMILLY SUR TILLE","0699661420","amkrenov@orange.fr","8246921640","82469216400018","3",118546,21,"41"
"BPN SARL","https://www.qualibat.com/resultat-de-la-recherche/bpn-sarl-124989","8 RUE LE VILLAGE, 21110 PLUVET","0380655591","sarl-bpn@akeonet.com","4923052220","49230522200019","5",377864,21,"41"
"ROYER SAS","https://www.qualibat.com/resultat-de-la-recherche/royer-sas-58209","12 RUE JULES FERRY, 21300 CHENOVE","0380525138","saroyer.nadege@gmail.com","0165501130","01655011300019","37",3080000,21,"41"
