"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"CRYSTAL SERVICES","https://www.qualibat.com/resultat-de-la-recherche/crystal-services-98520","33 RUE DE LA REMISE AUX FAISANS, 94600 CHOISY LE ROI","0148921305","contact@crystalservices.fr","3340687230","33406872300041","28",3600000,94,"51"
"PRODAF","https://www.qualibat.com/resultat-de-la-recherche/prodaf-169721","15 RUE SADI CARNOT, 94880 NOISEAU","0616470696","prodaf.sas@gmail.com","8305844700","83058447000017","6",457000,94,"51"
"ERI","https://www.qualibat.com/resultat-de-la-recherche/eri-44029","45 RUE DE LA PRAIRIE, 94120 FONTENAY SOUS BOIS","0149741500","o.debraux@eri.fr","5720789050","57207890500021","752",127070000,94,"51"
"AR BATIMENT","https://www.qualibat.com/resultat-de-la-recherche/ar-batiment-82011","92 RUE DE REIMS, 94700 MAISONS ALFORT","0149778080","contact@arbatiment.fr","4222360340","42223603400027","17",1530000,94,"51"
"REOLIAN MULTITEC","https://www.qualibat.com/resultat-de-la-recherche/reolian-multitec-40119","ZI DES PETITES HAIES 25 RUE DE VALENTON, 94000 CRETEIL","0145184141","contact@reolian-multitec.com","6920171890","69201718900048","228",43100000,94,"51"
"COREMAT - CONCEPTION REALISATION MAINTENANCE DE TRAVAUX","https://www.qualibat.com/resultat-de-la-recherche/coremat---conception-realisation-maintenance-de-travaux-164245","130 RUE DU LIEUTENANT PETIT LEROY, 94550 CHEVILLY LARUE","0146637853","h.bernard@co-re-mat.fr","7997949610","79979496100034","7",656942,94,"51"
"TELLO ET CIE","https://www.qualibat.com/resultat-de-la-recherche/tello-et-cie-40140","4 RUE DELAPORTE, 94700 MAISONSALFORT","0143765120","antoine.tello@free.fr","3115853430","31158534300016","3",250860,94,"51"
"SAT","https://www.qualibat.com/resultat-de-la-recherche/sat-41235","24/26 AVENUE LE VERRIER, 94100 SAINT MAUR DES FOSSES","0148854571","compta@sat94.fr","7120271350","71202713500029","7",2460000,94,"51"
"AERAULIQUE BUILDING SYSTEMS","https://www.qualibat.com/resultat-de-la-recherche/aeraulique-building-systems-83914","31 RUE DU CHEMIN VERT, 94510 LA QUEUE EN BRIE","0156861321","aeraulique_building_systems@yahoo.fr","4520089490","45200894900037","13",1850000,94,"51"
"SNPC","https://www.qualibat.com/resultat-de-la-recherche/snpc-40265","24 RUE DES VETERANS, 94500 CHAMPIGNY SUR MARNE","0148800706","s.n.p.c@orange.fr","3897190140","38971901400018","34",6690000,94,"51"
"ROSSI & CIE","https://www.qualibat.com/resultat-de-la-recherche/rossi-cie-40867","45 RUE LEDRU ROLLIN, 94100 SAINT MAUR DES FOSSES","0148830834","info@entreprise-rossi.com","5920511550","59205115500030","5",388853,94,"51"
"ISOCOP","https://www.qualibat.com/resultat-de-la-recherche/isocop-179291","14 RUE DE LA RÉPUBLIQUE, 94220 CHARENTON LE PONT","0970731207","support@isocop.fr","8312867860","83128678600049","12",825351,94,"51"
"PLOMBERIE CLAUDE RENOVATION","https://www.qualibat.com/resultat-de-la-recherche/plomberie-claude-renovation-152343","49 RUE DE FONTENAY, 94300 VINCENNES","0143286801","plomberieclaude@wanadoo.fr","7979356990","79793569900018","4",285098,94,"51"
"UNITHERMIC","https://www.qualibat.com/resultat-de-la-recherche/unithermic-87192","13/15 RUE DU PONT DES HALLES IMMEUBLE STRATEGIE ORLY, 94150 RUNGIS","0156303030","ana.mendes@unithermic.fr","4447640470","44476404700031","20",3820000,94,"51"
"BSMG - LES TECHNICIENS DES FLUIDES","https://www.qualibat.com/resultat-de-la-recherche/bsmg---les-techniciens-des-fluides-67164","95 AVENUE FOCH, 94100 SAINT MAUR DES FOSSES","0142832978","severine.distinguin@ltdfluides.com","7220400780","72204007800023","45",12460000,94,"51"
"CONTACT PEINTURE BATIMENT","https://www.qualibat.com/resultat-de-la-recherche/contact-peinture-batiment-44807","49 BOULEVARD ARISTIDE BRIAND, 94350 VILLIERS SUR MARNE","0149308658","info@contactpb.fr","4021956480","40219564800033","11",4150000.0000000005,94,"51"
"CBCS THERMIQUE ET FLUIDE","https://www.qualibat.com/resultat-de-la-recherche/cbcs-thermique-et-fluide-88905","5 RUE DES FRERES LUMIERES, 94510 LA QUEUE EN BRIE","0145948435","direction@cbcs.fr","5233588850","52335888500029","21",1760000,94,"51"
"PANORAMIS SM","https://www.qualibat.com/resultat-de-la-recherche/panoramis-sm-169305","7 RUE ROLAND MARTIN, 94500 CHAMPIGNY SUR MARNE","0177994475","contact@panoramis.fr","8298631900","82986319000023","43",21900000,94,"51"
"INDUSTRIELLE EUROPEENNE DE CONSTRUCTION","https://www.qualibat.com/resultat-de-la-recherche/industrielle-europeenne-de-construction-92003","14 RUE DU GENERAL DE GAULLE, 94110 ARCUEIL","0149851421","mailbox.iec@gmail.com","3520268430","35202684300024","7",844434,94,"51"
"ETOILE SERVICE","https://www.qualibat.com/resultat-de-la-recherche/etoile-service-177862","136 RUE JEAN JAURES, 94700 MAISONS ALFORT","0180975727","idfetoile@gmail.com","8489077210","84890772100015","38",4570000,94,"51"
"GREEN ENERGY","https://www.qualibat.com/resultat-de-la-recherche/green-energy-181907","3 QUAI BIR HAKEIM , 94410 ST MAURICE","0652490270","contact@greenenergy-france.fr","8789555410","87895554100031","2",360000,94,"51"
"PLOMBERIE DS","https://www.qualibat.com/resultat-de-la-recherche/plomberie-ds-126686","36 AVENUEDU PRESIDENT WILSON, 94450 LIMEIL BREVANNES","0631635849","plomberieds@yahoo.fr","8031818090","80318180900028","4",630000,94,"51"
"MOREL ET CIE","https://www.qualibat.com/resultat-de-la-recherche/morel-et-cie-40664","15 AVENUE HOCHE, 94320 THIAIS","0146803042","entreprise@ste-morel.fr","6820215060","68202150600022","23",3620000,94,"51"
"HOLLEY DURAN","https://www.qualibat.com/resultat-de-la-recherche/holley-duran-40697","35 RUE VICTOR BASCH, 94300 VINCENNES","0149579193","contact@holley-duran.fr","6520202070","65202020700021","24",2560000,94,"51"
"TERRASSE INDUSTRIES","https://www.qualibat.com/resultat-de-la-recherche/terrasse-industries-41214","1 AVENUE DES ERABLES, 94100 SAINT MAUR DES FOSSES","0148859990","secretariat@terrasse-industries.com","3777417150","37774171500058","15",5890000,94,"51"
"ISOLTIME","https://www.qualibat.com/resultat-de-la-recherche/isoltime-181749","112 AV DE PARIS CS 60002, 94300 VINCENNES","0766386884","l.katan@isoltime.com","8788374750","87883747500010","3",252000,94,"51"
"SOLUTIONS DE VIE AUTONOME","https://www.qualibat.com/resultat-de-la-recherche/solutions-de-vie-autonome-180889","15 RUE DES FOURNEAUX, 94440 MAROLLES EN BRIE","0145983730","sva-france@outlook.fr","8291326530","82913265300025","6",1780000,94,"51"
"A2T","https://www.qualibat.com/resultat-de-la-recherche/a2t-109672","16 RUE DES TROIS YVONNES, 94100 ST MAUR DES FOSSES","0155121909","a2tentreprise@gmail.com","5110110900","51101109000046","24",3850000,94,"51"
"ROGER LECONTE","https://www.qualibat.com/resultat-de-la-recherche/roger-leconte-44057","655 RUE MARCEL PAUL ZONE INDUSTRIELLE LES GRANDS GODETS, 94500 CHAMPIGNY SUR MARNE","0147061404","contact@jeannot-leconte.fr","6998015770","69980157700049","44",8080000,94,"51"
"SATISFECO","https://www.qualibat.com/resultat-de-la-recherche/satisfeco-91600","19 AV MAL DE LATTRE DE TASSIGNY, 94220 CHARENTON LE PONT","0148930284","contact@satisfeco.fr","5145287020","51452870200046","8",1050000,94,"51"
"VISSOUARN","https://www.qualibat.com/resultat-de-la-recherche/vissouarn-43939","61/63 AVENUE ARISTIDE BRIAND, 94230 CACHAN","0149083004","c.remond@vissouarn.com","5820627170","58206271700019","38",8199999.999999999,94,"51"
"VARIANCE CLIM","https://www.qualibat.com/resultat-de-la-recherche/variance-clim-98182","6 RUE DU 8 MAI 1945 PARC D'ACTIVITES LA HAIE GRISELLE, 94470 BOISSY ST LEGER","0164057656","contact@varianceclim.com","4906731590","49067315900029","19",3260000,94,"51"
"3R","https://www.qualibat.com/resultat-de-la-recherche/3r-80775","76 RUE D'ARCUEIL, 94250 GENTILLY","0146655023","3r@3renergies.fr","4533139340","45331393400029","6",1540000,94,"51"
"F2 EAUX CONCEPT","https://www.qualibat.com/resultat-de-la-recherche/f2-eaux-concept-41092","PARC D'ACTIVITES LES GONDOLES 114 / 126 AVENUE D'ALFORTVILLE, 94600 CHOISY LE ROI","0156291212","f2eaux.concept@wanadoo.fr","4195788440","41957884400039","13",990918,94,"51"
"SNEA","https://www.qualibat.com/resultat-de-la-recherche/snea-43363","16 RUE DU BOIS CERDON, 94460 VALENTON","0156324040","contact@snea.fr","3009862390","30098623900048","18",8540000,94,"51"
"EAEG","https://www.qualibat.com/resultat-de-la-recherche/eaeg-160095","5 RUE DU DISPENSAIRE, 94110 ARCUEIL","0145362886","contact@eaeg.fr","8188784230","81887842300024","19",1140000,94,"51"
"CEGELEC PARIS","https://www.qualibat.com/resultat-de-la-recherche/cegelec-paris-103870","2 CHEMIN DES MARAIS ZI GRAND MARAIS BAT3 1ER CS 30070, 94000 CRETEIL","0148185767","zahra.otmani@cegelec.com","5379159360","53791593600141","280",34200000,94,"51"
"LOUVRADOUX","https://www.qualibat.com/resultat-de-la-recherche/louvradoux-41129","7 RUE DU COMMANDANT JEAN DUHAIL, 94120 FONTENAY SOUS BOIS","0148769388","louvradoux.sa@wanadoo.fr","3785906990","37859069900021","16",2820000,94,"51"
"THIBAULT PERE ET FILS","https://www.qualibat.com/resultat-de-la-recherche/thibault-pere-et-fils-40860","17 RUE SAINT-HILAIRE, 94210 LA VARENNE ST HILAIRE","0148831071","sathibault@wanadoo.fr","5722292190","57222921900017","3",289779,94,"51"
"SANTALLIER","https://www.qualibat.com/resultat-de-la-recherche/santallier-40141","92 RUE ROGER FRANCOIS, 94700 MAISONS ALFORT","0143762944","santallier94@gmail.com","3136689720","31366897200018","10",1580000,94,"51"
"BATANSI","https://www.qualibat.com/resultat-de-la-recherche/batansi-183509","65 RTE DE LESIGNY, 94370 SUCY EN BRIE","0607489564","batansi@gmail.com","5051573880","50515738800024","1",49464,94,"51"
"EURL GERARD GOUGELET","https://www.qualibat.com/resultat-de-la-recherche/eurl-gerard-gougelet-112272","10 RUE DU PLESSIS TREVISE, 94500 CHAMPIGNY SUR MARNE","0148809018","contact@gougeletgerard.fr","3118678080","31186780800033","6",737519,94,"51"
"DETOISIEN","https://www.qualibat.com/resultat-de-la-recherche/detoisien-40814","2 TER RUE FELIX CHOPLIN, 94230 CACHAN","0146659775","entreprise.detoisien@orange.fr","3397660240","33976602400022","23",3040000,94,"51"
"APO LES ARTISANS PLOMBIERS D'ORMESSON","https://www.qualibat.com/resultat-de-la-recherche/apo-les-artisans-plombiers-d-ormesson-40395","43 AVENUE DU BOIS, 94430 CHENNEVIERES SUR MARNE","0145765068","ste.apo@orange.fr","3475762580","34757625800029","7",794548,94,"51"
"TCP TRAVAUX CHAUFFAGE PLOMBERIE","https://www.qualibat.com/resultat-de-la-recherche/tcp-travaux-chauffage-plomberie-40981","26 BOULEVARD SADI CARNOT, 94170 LE PERREUX SUR MARNE","0143243333","garmand@tcpbat.fr","4250672790","42506727900025","48",11380000,94,"51"
"GROUPE ELS","https://www.qualibat.com/resultat-de-la-recherche/groupe-els-170024","2 RUE SUCHET, 94700 MAISONS ALFORT","0971080027","groupe.els.isolation@gmail.com","8227065290","82270652900028","54",4860000,94,"51"
"CHARDIN","https://www.qualibat.com/resultat-de-la-recherche/chardin-40819","24 RUE AUGUSTE PERRET ZAC DE LA PETITE BRUYERE, 94800 VILLEJUIF","0145158080","ets-chardin@ets-chardin.fr","6620229530","66202295300043","43",5540000,94,"51"
"SARL SOFEC SOCIETE D'EQUIPEMENT FLERIENNE","https://www.qualibat.com/resultat-de-la-recherche/sarl-sofec-societe-d-equipement-flerienne-73209","12 RUE DE LA FEDERATION, 94700 MAISONS ALFORT","0142077100","sofec@cegetel.net","9505053050","95050530500041","8",1180000,94,"51"
"CLIM EKO","https://www.qualibat.com/resultat-de-la-recherche/clim-eko-81618","28 AVENUE GUYNEMER, 94100 ST MAUR DES FOSSES","0148863030","secretariat@climeko.fr","4916364780","49163647800027","7",776948,94,"51"
"AURION ET CIE","https://www.qualibat.com/resultat-de-la-recherche/aurion-et-cie-40268","40 RUE JEAN SAVU, 94500 CHAMPIGNY SUR MARNE","0148815952","l.duong@groupe-climater.com","3830265640","38302656400039","80",19050000,94,"51"
"DA SILVA ENTREPRISE GENERALE","https://www.qualibat.com/resultat-de-la-recherche/da-silva-entreprise-generale-41055","199 RUE PAUL VAILLLANT COUTURIER, 94140 ALFORTVILLE","0143752812","ets.dasilva@wanadoo.fr","5721350850","57213508500023","13",1290000,94,"51"
"AMS RENOVA","https://www.qualibat.com/resultat-de-la-recherche/ams-renova-91214","32 RUE GABRIELLE, 94220 CHARENTON LE PONT","0143782948","g.drevenak@amsrenova.com","5040158500","50401585000010","10",880000,94,"51"
"LSRP","https://www.qualibat.com/resultat-de-la-recherche/lsrp-41145","76 RUE DU BOIS GALON, 94120 FONTENAY SOUS BOIS","0148754333","l.s.r.p@wanadoo.fr","3083057620","30830576200012","30",16120000.000000002,94,"51"
"CONCEPT CREATION (ECO RENOVATION FRANCE)","https://www.qualibat.com/resultat-de-la-recherche/concept-creation-eco-renovation-france--166630","37 RUE CARNOT, 94700 MAISONS ALFORT","0972652867","jimmybenmussa@gmail.com","5047078940","50470789400060","27",3550000,94,"51"
"ALVES PEREIRA","https://www.qualibat.com/resultat-de-la-recherche/alves-pereira-80983","8 QUAI DE BIR-HAKEIM RDC FOND DE COUR, 94410 ST MAURICE","0148832403","ets.alves@wanadoo.fr","3496568270","34965682700046","5",565930,94,"51"
"SEAP","https://www.qualibat.com/resultat-de-la-recherche/seap-77031","5 AVENUE GUY MOCQUET, 94340 JOINVILLE LE PONT","0145135995","contact@seap-batiment.fr","4053852120","40538521200031","45",6600000,94,"51"
"FACILITES MULTISERVICE (BAT ENERGIE)","https://www.qualibat.com/resultat-de-la-recherche/facilites-multiservice-bat-energie--177643","24 AVENUE JEAN JAURES, 94220 CHARENTON LE PONT","0148909090","asmae.o@bat-energie.fr","8179319260","81793192600031","8",284378,94,"51"
"ECO SOFT","https://www.qualibat.com/resultat-de-la-recherche/eco-soft-171759","8 RUE CHARLES PATHE, 94300 VINCENNES","0666887291","contact.ecosoft@gmail.com","8337428100","83374281000025","8",1020000,94,"51"
"BAUDUIN ET LEMASSON","https://www.qualibat.com/resultat-de-la-recherche/bauduin-et-lemasson-43936","42 RUE GABRIEL PERI, 94200 IVRY SUR SEINE","0143311852","contact@bauduinetlemasson.fr","5721887120","57218871200028","10",1160000,94,"51"
"GD ENERGIES","https://www.qualibat.com/resultat-de-la-recherche/gd-energies-157823","2 AV DE LA SABLIERE, 94370 SUCY EN BRIE","0145765702","contact@gdenergies.fr","8052969930","80529699300035","10",3220000,94,"51"
"SCEPA","https://www.qualibat.com/resultat-de-la-recherche/scepa-40733","59 RUE HENRI LAIRE, 94290 VILLENEUVE LE ROI","0145975814","scepa@wanadoo.fr","3067718410","30677184100021","6",598628,94,"51"
"LAFLEUR FRERES & FILS","https://www.qualibat.com/resultat-de-la-recherche/lafleur-freres-fils-40844","5 RUE DE VALMY, 94220 CHARENTON LE PONT","0148933043","lafleur.freres@wanadoo.fr","3228698190","32286981900019","11",959344,94,"51"
