"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"MENUISERIE FAUCONNET","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-fauconnet-76107","ZA 28 LA SCIAUVE, 23230 GOUZON","0555810000","compta@menuiseriefauconnet.fr","4775141110","47751411100012","7",750000,23,"35"
"TEILLARD PASCAL","https://www.qualibat.com/resultat-de-la-recherche/teillard-pascal-179818","PLEINE FAYE, 23480 LE DONZEIL","0555645551","pascal.teillard@orange.fr","8494887540","84948875400011","7",743000,23,"35"
"NAUDON MATHE SAS","https://www.qualibat.com/resultat-de-la-recherche/naudon-mathe-sas-62059","Z.I. DU CHEIX BP 85, 23300 LA SOUTERRAINE","0555630949","contact@naudon-mathe.fr","9970500340","99705003400013","44",7600000,23,"35"
"BENITO THIERRY","https://www.qualibat.com/resultat-de-la-recherche/benito-thierry-142430","4 ROUTE DE MONTLUCON LE BOURG, 23700 ROUGNAT","0555670602","thierry-benito@orange.fr","4194663960","41946639600019","3",360000,23,"35"
"L'AGENCEMENT DE JERS","https://www.qualibat.com/resultat-de-la-recherche/l-agencement-de-jers-166991","47 B LA VERGNE, 23000 ST FIEL","0603884144","lagancementdejers@gmail.com","8280622160","82806221600019","3",135234,23,"35"
"PESCHOT SARL","https://www.qualibat.com/resultat-de-la-recherche/peschot-sarl-121101","24 LE VERGER, 23000 STE FEYRE","0555527697","peschot.guy@orange.fr","5184982250","51849822500011","4",337986,23,"35"
"ENTREPRISE COTTAZ SARL","https://www.qualibat.com/resultat-de-la-recherche/entreprise-cottaz-sarl-62016","RUE PRINCIPALE, 23210 AULON","0555620499","cottaz.j@orange.fr","4495242300","44952423000017","6",870496,23,"35"
"FRANCK TABARD EIRL","https://www.qualibat.com/resultat-de-la-recherche/franck-tabard-eirl-118218","11 MONTELY, 23190 CHAMPAGNAT","0643543575","contact.franck-tabard@orange.fr","7951788050","79517880500011","1",175695,23,"35"
"RENOV ISO CONSEIL SARL","https://www.qualibat.com/resultat-de-la-recherche/renov-iso-conseil-sarl-91388","17 LA BUSSIERE, 23160 ST SEBASTIEN","0555634315","renovisoconseil@wanadoo.fr","4414355750","44143557500010","8",1190000,23,"35"
"LEFELLE ALAIN SARL","https://www.qualibat.com/resultat-de-la-recherche/lefelle-alain-sarl-102545","2 LE FRESSANAUD, 23220 BONNAT","0555812138","lefellea@wanadoo.fr","5291785190","52917851900011","5",518766,23,"35"
"MIROITERIE GUERETOISE","https://www.qualibat.com/resultat-de-la-recherche/miroiterie-gueretoise-119704","1 RUE GEORGES CLEMENCEAU, 23000 GUERET","0555417908","cathy.damon@ac-limoges.fr","4031853900","40318539000016","1",190848,23,"35"
"SARL CHASSAIN","https://www.qualibat.com/resultat-de-la-recherche/sarl-chassain-109485","ROUTE DE CHARASSE, 23200 AUBUSSON","0555662615","sarl.chassain@orange.fr","4017025760","40170257600026","6",639157,23,"35"
"CADILLON ALAIN","https://www.qualibat.com/resultat-de-la-recherche/cadillon-alain-106391","16 PUY CHAUVEAU, 23000 STE FEYRE","0613130494","cadillon.alain@wanadoo.fr","4531799880","45317998800010","1",105000,23,"35"
"THIERRY PRADEAU ETS","https://www.qualibat.com/resultat-de-la-recherche/thierry-pradeau-ets-114541","5 LEYPORT, 23240 LIZIERES","0555630479","","3322949900","33229499000012","1",218855,23,"35"
"FENETRE DE L'AVENIR SARL","https://www.qualibat.com/resultat-de-la-recherche/fenetre-de-l-avenir-sarl-107709","1 AVENUE DE LA REPUBLIQUE, 23300 LA SOUTERRAINE","0555632796","fdla@wanadoo.fr","4777714890","47777148900028","4",708505,23,"35"
"JAMEX","https://www.qualibat.com/resultat-de-la-recherche/jamex-104313","2 BIS AVENUE PIERRE MENDES FRANCE, 23000 GUERET","0555521871","jamex.gueret@wanadoo.fr","4417547020","44175470200096","7",1130000,23,"35"
"ALUMINIUM NUNO","https://www.qualibat.com/resultat-de-la-recherche/aluminium-nuno-124871","53 AVENUE LOUIS LAROCHE, 23000 GUERET","0678154423","sasaluminiumnuno@hotmail.com","7500627390","75006273900032","3",402000,23,"35"
"ADAM","https://www.qualibat.com/resultat-de-la-recherche/adam-61996","18 ROUTE DE LA SOUTERRAINE, 23300 ST AGNANT DE VERSILLAT","0555631108","jeremy.vaugelade@adamsas.fr","3223446490","32234464900015","107",12360000,23,"35"
"VIAL FRANCK","https://www.qualibat.com/resultat-de-la-recherche/vial-franck-163177","LES CHAUMES AUX BORDES, 23110 ST JULIEN LA GENETE","0555655926","vial.franck@orange.fr","3328561940","33285619400011","1",147035,23,"35"
"MENUISERIE CHAGNON SARL","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-chagnon-sarl-62049","4 IMPASSE DES TROENES, 23600 BOUSSAC","0555651600","entreprise.chagnon@orange.fr","5210598990","52105989900026","7",890643,23,"35"
"ACCOLAS LUDOVIC","https://www.qualibat.com/resultat-de-la-recherche/accolas-ludovic-133705","RUE DU CHAMP DE COURSE 34 CHARSAT, 23000 STE FEYRE","0555811068","accolas.ludovic@gmail.com","8090510630","80905106300018","1",101711,23,"35"
"MENUISERIE ROBIN","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-robin-190066","ROUTE DE GUERET, 23380 AJAIN","0687543373","menuierie.robin@orange.fr","8936876320","89368763200016","1",NaN,23,"35"
"ROUSSY AVIGNON S.A.R.L.","https://www.qualibat.com/resultat-de-la-recherche/roussy-avignon-s-a-r-l--62068","RAMEIX, 23380 AJAIN","0555809754","roussy-avignon@orange.fr","3219326590","32193265900014","10",1030000,23,"35"
"CROUZILLAT SARL","https://www.qualibat.com/resultat-de-la-recherche/crouzillat-sarl-185025","16 CHER DE HAUT, 23000 ST FIEL","0555","jeff.crouzillat@orange.fr","8476342010","84763420100010","2",109340,23,"35"
