"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"RABE NICOLAS","https://www.qualibat.com/resultat-de-la-recherche/rabe-nicolas-167064","10 LOT DE KERAVEL, 22740 PLEUMEUR GAUTIER","0296204439","dominique.rabe@orange.fr","8284199110","82841991100015","3",134068,22,"35"
"POLES DIDIER","https://www.qualibat.com/resultat-de-la-recherche/poles-didier-107986","LE CLEOURS, 22810 PLOUNEVEZ MOEDEC","0296386464","didier.poles@orange.fr","3393717830","33937178300020","2",121554,22,"35"
"SA SOCOBATI","https://www.qualibat.com/resultat-de-la-recherche/sa-socobati-138479","ZONE INDUSTRIELLE RUE DE LA JEANNAIE MAROUE, 22400 LAMBALLE","0296307104","severine.herve@calipro.fr","3417960270","34179602700017","263",60370000,22,"35"
"BAT'INNOV","https://www.qualibat.com/resultat-de-la-recherche/bat-innov-133483","12 RUE FULGENCE BIENVENUE, 22960 PLEDRAN","0662411221","batinnov@bbox.fr","5337122120","53371221200026","11",1400000,22,"35"
"ROPARTZ CONSTRUCTION SARL","https://www.qualibat.com/resultat-de-la-recherche/ropartz-construction-sarl-64033","ZA LA CROIX ROUGE , 22300 PLOUMILLIAU","0296354521","info.ropartz.constructions@gmail.com","3902901950","39029019500028","13",1750000,22,"35"
"FRABOULET","https://www.qualibat.com/resultat-de-la-recherche/fraboulet-64049","ZONE ARTISANALE 20 RUE DE BELLEVUE, 22600 TREVE","0296281751","contact@fraboulet.bzh","3195831180","31958311800017","25",4139999.9999999995,22,"35"
"LE BIHAN SERANDOUR","https://www.qualibat.com/resultat-de-la-recherche/le-bihan-serandour-98396","RTE DE QUINTIN, 22720 ST FIACRE","0296214525","lebihan.serandour@wanadoo.fr","3894808150","38948081500015","8",1220000,22,"35"
"GALANDA WALTER","https://www.qualibat.com/resultat-de-la-recherche/galanda-walter-113431","9 RUE DES GOELETTES, 22370 PLENEUF VAL ANDRE","0296722051","walter.galanda@wanadoo.fr","4046747560","40467475600048","2",244399,22,"35"
"MIROITERIE DU GUINEFORT","https://www.qualibat.com/resultat-de-la-recherche/miroiterie-du-guinefort-125405","ZA DU GUINEFORT, 22100 ST CARNE","0296835945","miroiterieduguinefort@gmail.com","3852594370","38525943700015","5",929911,22,"35"
"LOMINE SARL","https://www.qualibat.com/resultat-de-la-recherche/lomine-sarl-110703","SLB ZA DES ALLEUX 2 RUE DU VENT D AUTANT, 22100 TADEN","0296830367","lomine.bernard@wanadoo.fr","3450012260","34500122600025","22",2460000,22,"35"
"ACTI POSE","https://www.qualibat.com/resultat-de-la-recherche/acti-pose-120672","ALLEE DE KIMORE QUAY, 22130 CREHEN","0296802966","serge.bouesnard@orange.fr","4784721600","47847216000017","3",597916,22,"35"
"FRABOULET JEAN JACQUES","https://www.qualibat.com/resultat-de-la-recherche/fraboulet-jean-jacques-81419","LE PONTY, 22460 ST THELO","0296563409","jjfraboulet@wanadoo.fr","3285102760","32851027600020","1",162511,22,"35"
"MB MENUISERIE","https://www.qualibat.com/resultat-de-la-recherche/mb-menuiserie-183841","SAINT IDUNET, 22140 PLUZUNET","0676761382","mb-menuiserie@orange.fr","8194436070","81944360700026","1",178000,22,"35"
"SOCIETE NICOL PALLU - SNP","https://www.qualibat.com/resultat-de-la-recherche/societe-nicol-pallu---snp-99384","1 RUE DE LA CROIX JEAN GICQUEL, 22100 BOBITAL","0296837917","contact@snp-renovation.fr","5221062020","52210620200024","4",322042,22,"35"
"ENTREPRISE DE BATIMENT JEAN MICHEL GUEGAN","https://www.qualibat.com/resultat-de-la-recherche/entreprise-de-batiment-jean-michel-guegan-109118","16 CHEMIN DE GOASMEUR, 22500 PAIMPOL","0296208539","eurl.guegan@gmail.com","3223446230","32234462300028","6",454563,22,"35"
"EVEN DOMINIQUE","https://www.qualibat.com/resultat-de-la-recherche/even-dominique-131583","CROIX QUINQUIS, 22290 PLEGUIEN","0296200589","domeven@wanadoo.fr","3949334510","39493345100012","1",74376,22,"35"
"ERNOT","https://www.qualibat.com/resultat-de-la-recherche/ernot-129354","12 ROUTE DE LOGUIVY DE LA MER, 22620 PLOUBAZLANEC","0296557276","nicolas.ernot@orange.fr","4923356900","49233569000029","1",98198,22,"35"
"MENUISERIE MARIETTE","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-mariette-106224","CAP OUEST 3 RUE DE LA  MOUSSON, 22100 TADEN","0621205093","menuiseriemariette@hotmail.fr","7895650410","78956504100017","2",160210,22,"35"
"CONSTRUCTIONS TRADITIONNELLES D'ARMOR","https://www.qualibat.com/resultat-de-la-recherche/constructions-traditionnelles-d-armor-64046","ROUTE DE GUINGAMP BP 60409, 22300 LANNION","0296370267","ctarmor@orange.fr","3801137870","38011378700010","7",1400000,22,"35"
"ROUVRAIS ALAIN","https://www.qualibat.com/resultat-de-la-recherche/rouvrais-alain-97383","LE CHENE ROND, 22410 PLOURHAN","0296714605","al.rouvrais@orange.fr","4200405290","42004052900018","2",200766,22,"35"
"MOTREFF","https://www.qualibat.com/resultat-de-la-recherche/motreff-64310","ZA DE BUHULIEN, 22300 LANNION","0296461803","contact@guymotreff.com","4353821060","43538210600027","15",2470000,22,"35"
"MAHZE","https://www.qualibat.com/resultat-de-la-recherche/mahze-177405","ZONE ARTISANALE DU SAVAZOU, 22500 KERFOT","0296550789","contact@lgrenovation.bzh","8430351890","84303518900011","10",1180000,22,"35"
"BOURGEON CHRISTIAN","https://www.qualibat.com/resultat-de-la-recherche/bourgeon-christian-111929","16 LD CROIX PRIGENT, 22970 PLOUMAGOAR","0610030844","bourgeonycc@aol.com","4084126330","40841263300054","2",130000,22,"35"
"CTCA 22","https://www.qualibat.com/resultat-de-la-recherche/ctca-22-185591","39 RUE DU CLANDY, 22320 PLUSSULIEN","","ja.ctca22@gmail.com","8882765080","88827650800015","4",470000,22,"35"
"LES ATELIERS D'A.B.C","https://www.qualibat.com/resultat-de-la-recherche/les-ateliers-d-a-b-c-71170","RUE DE FREYCINET PARC D'ACTIVITE DES CHÂTELETS, 22950 TREGUEUX","0296943660","contact@abc-creations.fr","4238946170","42389461700020","40",3640000,22,"35"
"LEROY JEAN LOUIS SARL","https://www.qualibat.com/resultat-de-la-recherche/leroy-jean-louis-sarl-180088","62 ROUTE DE KERGRIST, 22500 PAIMPOL","","jeanlouisleroy22620@gmail.com","8491016700","84910167000016","2",223141,22,"35"
"CHAUVEL JEAN-LUC","https://www.qualibat.com/resultat-de-la-recherche/chauvel-jean-luc-108771","41 LA BELLANGERIE, 22100 BOBITAL","0296880120","jean-luc.chauvel@orange.fr","4317954830","43179548300012","1",238422,22,"35"
"RINGENBACH ERIC","https://www.qualibat.com/resultat-de-la-recherche/ringenbach-eric-107021","IMPASSE DES CHATAIGNIERS, 22100 BOBITAL","0296836196","entrepriseringenbacheric@gmail.com","4933146940","49331469400016","1",260833,22,"35"
"MENUISERIE JOSSELIN","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-josselin-157627","LE CHÊNE VERT, 22490 PLESLIN TRIGAVOU","0296271453","menuiseriejosselin@gmail.com","4030170230","40301702300025","9",688561,22,"35"
"FOEZON","https://www.qualibat.com/resultat-de-la-recherche/foezon-158707","36 RUE DU GENERAL DE GAULLE, 22580 PLOUHA","0296202034","christian.foezon@wanadoo.fr","5337121960","53371219600013","2",85090,22,"35"
"ENTREPRISE RENAULT SARL","https://www.qualibat.com/resultat-de-la-recherche/entreprise-renault-sarl-63888","Z.A. RUE DU BOIS, 22350 CAULNES","0296839271","menuiserie@entrepriserenault.com","3276546200","32765462000019","38",6430000,22,"35"
"LE CLEC'H JULIEN SARL","https://www.qualibat.com/resultat-de-la-recherche/le-clec-h-julien-sarl-167564","4 LOT COAT JOSEB, 22480 ST NICOLAS DU PELEM","0296240665","menuiserie.leclech@gmail.com","8247107920","82471079200014","3",660290,22,"35"
"MENUISERIE CHASSE","https://www.qualibat.com/resultat-de-la-recherche/menuiserie-chasse-99432","PA DE LA GRIGNARDAIS, 22490 PLESLIN TRIGAVOU","0299884111","contact@entreprise-chasse.fr","3841361310","38413613100024","18",1790000,22,"35"
"BATI SERVICES","https://www.qualibat.com/resultat-de-la-recherche/bati-services-172743","14 LA MINOTAIS, 22490 PLOUER SUR RANCE","","laurent.voyron@sfr.fr","5113158140","51131581400026","1",40242,22,"35"
"LE BIHAN JEAN MICHEL","https://www.qualibat.com/resultat-de-la-recherche/le-bihan-jean-michel-123143","4 RUE DE POUILLADOU, 22140 PRAT","0296470030","lebihan-jm@orange.fr","4235628750","42356287500017","2",175738,22,"35"
"PRODHOMME PHILIPPE","https://www.qualibat.com/resultat-de-la-recherche/prodhomme-philippe-118668","CLOS DE LA GRANGE, 22100 TRELIVAN","0296395425","prodhommephilippe@orange.fr","4788752710","47887527100015","1",214630,22,"35"
