"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"LERALLU BRUNO","https://www.qualibat.com/resultat-de-la-recherche/lerallu-bruno-88301","ZI ROUTE DE DOMFRONT, 61330 CEAUCE","0233300617","bruno.lerallu@wanadoo.fr","4040675630","40406756300019","4",309260,61,"53"
"SCF","https://www.qualibat.com/resultat-de-la-recherche/scf-12276","RUE DES PEUPLIERS BP 54 ZI, 61600 LA FERTE MACE","0233371366","entreprise@scf-energies.fr","3484875130","34848751300049","42",5870000,61,"53"
"MARY AURELIEN","https://www.qualibat.com/resultat-de-la-recherche/mary-aurelien-175122","LE VAL MARTIN, 61600 ST GEORGES D'ANNEBECQ","0964165387","aurelien.mary@orange.fr","8375999190","83759991900011","6",440865,61,"53"
"SOL JEAN-MARC SARL","https://www.qualibat.com/resultat-de-la-recherche/sol-jean-marc-sarl-12515","ROUTE DE FRESNAY ZA DU PETIT CASSARD, 61000 ST GERMAIN DU CORBEIS","0233802626","contact@jeanmarcsol.fr","3991956190","39919561900024","13",1310000,61,"53"
"SARL ISO RENOVATION","https://www.qualibat.com/resultat-de-la-recherche/sarl-iso-renovation-94682","79 RUE DE DOMFRONT, 61100 FLERS","0233652069","contact@iso-renovation.fr","5307728700","53077287000032","8",1000000,61,"53"
"QLS","https://www.qualibat.com/resultat-de-la-recherche/qls-12655","3 RUE GUTENBERG ZONE DE L'EXPANSION BP 57, 61200 ARGENTAN","0233362274","qls@wanadoo.fr","4181492410","41814924100022","12",1050000,61,"53"
"LEROYER YOHAN","https://www.qualibat.com/resultat-de-la-recherche/leroyer-yohan-167936","8 RUE DES CAPUCINS, 61000 ALENCON","0233298972","leroyer.pce@gmail.com","8213920400","82139204000019","7",937909,61,"53"
"ITSI LIARD (INST. THERMIQUES SANITAIRES & INCENDIE)","https://www.qualibat.com/resultat-de-la-recherche/itsi-liard-inst-thermiques-sanitaires-incendie--12256","91 ROUTE DE PARIS ANGLURES, 61300 ST SULPICE SUR RISLE","0233242688","itsi.liard@wanadoo.fr","3411511570","34115115700011","8",541140,61,"53"
"GOMEZ JEAN-MARC","https://www.qualibat.com/resultat-de-la-recherche/gomez-jean-marc-12579","LA HERDANGÈRE, 61170 BARVILLE","0233289018","jean-marc.gomez5@wanadoo.fr","3785682320","37856823200011","4",318079,61,"53"
"ERWAN LERAISNIER SARL","https://www.qualibat.com/resultat-de-la-recherche/erwan-leraisnier-sarl-130785","RUE DU PARADIS, 61300 L'AIGLE","0687400091","erwan@leraisnier.fr","8086044090","80860440900025","5",733408,61,"53"
"VIMATHERMIQUE","https://www.qualibat.com/resultat-de-la-recherche/vimathermique-12567","ELAIRGIE VIMOUTIERS RUE DES PRUNIERS ZI, 61120 VIMOUTIERS","0233391487","vimoutiers@elairgie.fr","3851509090","38515090900021","10",1260000,61,"53"
"JANNELEC","https://www.qualibat.com/resultat-de-la-recherche/jannelec-102970","8 RUE DU PARC, 61100 FLERS","0233657492","jannelec@wanadoo.fr","4148026940","41480269400011","38",3800000,61,"53"
"PRO INSTALLATIONS","https://www.qualibat.com/resultat-de-la-recherche/pro-installations-90854","38 RUE JOACHIM DU BELLAY, 61100 FLERS","0233648813","proinstallations@orange.fr","4440990220","44409902200022","2",126000,61,"53"
"KL CONCEPTS","https://www.qualibat.com/resultat-de-la-recherche/kl-concepts-155130","3 RUE PIERRE MENDES FRANCE, 61200 ARGENTAN","0778260061","contact@so-eko.com","8107066710","81070667100015","9",14570000,61,"53"
"SARL BESNIARD","https://www.qualibat.com/resultat-de-la-recherche/sarl-besniard-177994","LES PLANCHES, 61500 SEES","0233287619","etsbesniard@aol.com","8449566070","84495660700015","7",800000,61,"53"
"ELAIRGIE ARGENTAN","https://www.qualibat.com/resultat-de-la-recherche/elairgie-argentan-12251","BOULEVARD DE L'EXPANSION ZI, 61200 ARGENTAN","0233368828","argentan@elairgie.fr","3089222510","30892225100027","36",7760000,61,"53"
"BASTIEN CHRISTOPHE","https://www.qualibat.com/resultat-de-la-recherche/bastien-christophe-12748","141 RUE DE BRETAGNE, 61000 ALENCON","0233263286","sarl.christophebastien@orange.fr","4487947920","44879479200052","9",801113,61,"53"
"ROHEE SEBASTIEN","https://www.qualibat.com/resultat-de-la-recherche/rohee-sebastien-109055","LA CAILLERIE, 61800 CLAIREFOUGERE","0233661844","roheesebastien@gmail.com","7978842020","79788420200012","4",501694,61,"53"
"CHALLIER SARL","https://www.qualibat.com/resultat-de-la-recherche/challier-sarl-12328","13 RUE LUCIEN DAVID, 61110 BRETONCELLES","0237372162","challier@sarl-challier.fr","3841465930","38414659300015","8",722254,61,"53"
"SOCIETE  DUCRE","https://www.qualibat.com/resultat-de-la-recherche/societe-ducre-96727","26 RUE AMPERE ZIN, 61000 ALENCON","0233291783","ducre@ducre.fr","7925024520","79250245200016","47",5890000,61,"53"
