"Nom entreprise","Site web","Adresse","Telephone","Email","Siren","Siret","Effectif","Chiffre d'affaires","Département","Groupe"
"GUILLOTIN PATRICK","https://www.qualibat.com/resultat-de-la-recherche/guillotin-patrick-114757","3 ZONE ARTISANALE  DU PRE ST GERMAIN, 71250 CLUNY","0385599103","guillotin.pat@orange.fr","4114990490","41149904900038","13",1060000,71,"61"
"BAILLY FRERES SARL","https://www.qualibat.com/resultat-de-la-recherche/bailly-freres-sarl-33800","34 PLACE DU 11 NOVEMBRE, 71150 DEMIGNY","0385494706","baillyfreres@gmail.com","3285060840","32850608400016","10",392561,71,"61"
"FAYET BERNARD SAS","https://www.qualibat.com/resultat-de-la-recherche/fayet-bernard-sas-107183","3 PLACE DE L'HOTEL DE VILLE, 71600 PARAY LE MONIAL","0385849495","contact@sasfayet.fr","4390480750","43904807500030","12",870837,71,"61"
"GUILLARD SARL","https://www.qualibat.com/resultat-de-la-recherche/guillard-sarl-82480","350 ROUTE DES BERGERS, 71680 CRECHES SUR SAONE","0385365294","sarlguillard@gmail.com","5096085500","50960855000018","6",515849,71,"61"
"LAFORET PIERRE SARL","https://www.qualibat.com/resultat-de-la-recherche/laforet-pierre-sarl-33554","2 BIS PLACE DE JUBECOURT, 71160 DIGOIN","0385530335","laforet.pierre.sa@wanadoo.fr","3126710920","31267109200020","13",1070000,71,"61"
"NOVA DECO SARL","https://www.qualibat.com/resultat-de-la-recherche/nova-deco-sarl-34668","765 ROUTE BLANCHE, 71960 PRISSE","0385389374","nova.deco@orange.fr","4334689070","43346890700020","5",311605,71,"61"
"ADS 71 AIR DECONTAMINATION SERVICES","https://www.qualibat.com/resultat-de-la-recherche/ads-71-air-decontamination-services-170648","41 A ROUTE NATIONALE 6, 71240 VARENNES LE GRAND","0385936458","chalon@adsgroupe.fr","4950345300","49503453000024","23",1890000,71,"61"
"BUIRON GERARD SARL","https://www.qualibat.com/resultat-de-la-recherche/buiron-gerard-sarl-34574","ESPACE DES BERTHILLIERS 52 CHEMIN DU BOIS D'ALIER, 71850 CHARNAY LES MACON","0385320072","contact@buiron-gerard.com","3802282960","38022829600022","7",444615,71,"61"
"DUTHEL PASCAL","https://www.qualibat.com/resultat-de-la-recherche/duthel-pascal-33854","24 ROUTE NATIONALE 6, 71240 ST LOUP DE VARENNES","0385939829","duthelpascal@orange.fr","4528247580","45282475800026","13",650322,71,"61"
"ENTREPRISE SARNIN BECAUD","https://www.qualibat.com/resultat-de-la-recherche/entreprise-sarnin-becaud-33715","1 B RUE GAMBETTA, 71170 CHAUFFAILLES","0385260578","sarninbecaud@orange.fr","3121273840","31212738400039","10",726655,71,"61"
"ETABLISSEMENTS GAULT","https://www.qualibat.com/resultat-de-la-recherche/etablissements-gault-34455","ZONE ARTISANALE EN ROCHE, 71960 CHEVAGNY LES CHEVRIERES","0385209590","ets-gault@orange.fr","3533281980","35332819800026","16",1840000,71,"61"
"GIRARDON ENTREPRISE","https://www.qualibat.com/resultat-de-la-recherche/girardon-entreprise-74957","ZA DE PRETIN, 71120 CHAROLLES","0385883599","contact@entreprise-girardon.com","4976553160","49765531600014","20",1290000,71,"61"
"PINTO FRERES RAVALEMENT","https://www.qualibat.com/resultat-de-la-recherche/pinto-freres-ravalement-34344","PARC D'ACTIVITÉS DES BLATTIERS, 71160 DIGOIN","0385889744","marilyne.l.pinto@orange.fr","3794413890","37944138900028","19",1400000,71,"61"
"SL2P / DECORATION","https://www.qualibat.com/resultat-de-la-recherche/sl2p-decoration-165112","LE PAQUIER DE LA FAYOLLE, 71520 TRAMAYES","0967368378","sl2p@orange.fr","8218551110","82185511100018","5",989560,71,"61"
"DUSSABLY FRERES SAS","https://www.qualibat.com/resultat-de-la-recherche/dussably-freres-sas-83486","Z.A.C. DES PLATIÈRES, 71000 SANCE","0385387260","dussably.sas@orange.fr","5108111440","51081114400011","5",230811,71,"61"
"BOSSU SEBASTIEN","https://www.qualibat.com/resultat-de-la-recherche/bossu-sebastien-122371","4 CHEMIN DES MURIERS, 71480 CUISEAUX","0678113563","sebastienbossu@orange.fr","4412296550","44122965500028","2",96364,71,"61"
"MEGARD YANNIS","https://www.qualibat.com/resultat-de-la-recherche/megard-yannis-80743","LE BOURG, 71480 DOMMARTIN LES CUISEAUX","0385766621","yannismegard@orange.fr","5084391480","50843914800018","8",646499,71,"61"
"PINTO JOSE SARL","https://www.qualibat.com/resultat-de-la-recherche/pinto-jose-sarl-86637","54 ROUTE D'AUTUN, 71640 DRACY LE FORT","0385879887","entpinto71@gmail.com","5205300720","52053007200039","11",695312,71,"61"
"VAGINET SARL","https://www.qualibat.com/resultat-de-la-recherche/vaginet-sarl-33588","5 ALLEE DU CHAMP PACAUD, 71640 DRACY LE FORT","0385914268","sarl.vaginet@orange.fr","4338180930","43381809300034","31",3560000,71,"61"
"PRODECO SARL","https://www.qualibat.com/resultat-de-la-recherche/prodeco-sarl-34684","1 BIS RUE DE LA VIGNE, 71600 PARAY LE MONIAL","0677171851","prodeco.paray@wanadoo.fr","4479654840","44796548400010","7",381500,71,"61"
"COLIN SARL","https://www.qualibat.com/resultat-de-la-recherche/colin-sarl-33963","43 AVENUE RENE CASSIN, 71000 MACON","0385383491","contact@colinpeinture.fr","3266055080","32660550800042","35",3530000,71,"61"
"AN PACHECO DA SILVA SARL","https://www.qualibat.com/resultat-de-la-recherche/an-pacheco-da-silva-sarl-186913","870 CHEMIN DES LUMINAIRES, 71850 CHARNAY LES MACON","0385202683","contact@pachecodasilva.fr","8877786860","88777868600014","16",1250000,71,"61"
"TOTA EURL","https://www.qualibat.com/resultat-de-la-recherche/tota-eurl-33507","PLÂTRERIE PEINTURE 52 RUE D'AUTUN, 71300 MONTCEAU LES MINES","0385588584","claude.tota@wanadoo.fr","3437118260","34371182600036","18",623824,71,"61"
"LABILLE LAURENT SAS","https://www.qualibat.com/resultat-de-la-recherche/labille-laurent-sas-33714","18 ROUTE DE LOUHANS, 71440 LESSARD EN BRESSE","0385964973","laurent.labille@orange.fr","4216440480","42164404800017","5",444898,71,"61"
"SOCIETE MONTCHANINOISE DE PLATRERIE PEINTURE","https://www.qualibat.com/resultat-de-la-recherche/societe-montchaninoise-de-platrerie-peinture-34109","ZI HENRI PAUL SCHNEIDER RUE FRANCOIS BOURDON, 71210 MONTCHANIN","0385781138","contact@s-m-p-p.fr","3394257040","33942570400022","84",8660000,71,"61"
"SAMAG","https://www.qualibat.com/resultat-de-la-recherche/samag-33851","9 RUE DES ALOUETTES SARL SAMAG 9 RUE DES ALOUETTES, 71100 SAINT REMY","0385425840","samag-renov@orange.fr","3842226670","38422266700055","29",3100000,71,"61"
"BARLETTA","https://www.qualibat.com/resultat-de-la-recherche/barletta-34289","MACONNERIE 121 AVENUE BOUCICAUT, 71100 CHALON SUR SAONE","0385936403","barletta.sarl@orange.fr","3387599390","33875993900022","12",1010000,71,"61"
"MICHAUD SARL","https://www.qualibat.com/resultat-de-la-recherche/michaud-sarl-33718","5, RUE D'AUTUN, 71100 CHALON SUR SAONE","0385477292","mbs0706@orange.fr","4907108940","49071089400059","8",410210,71,"61"
"LEBEAU LANGLOIS SARL","https://www.qualibat.com/resultat-de-la-recherche/lebeau-langlois-sarl-34042","Z.A. PRE SAINT GERMAIN, 71250 CLUNY","0385592533","cluny@lebeaulanglois.fr","4449024310","44490243100014","23",1730000,71,"61"
"MORENO EURL","https://www.qualibat.com/resultat-de-la-recherche/moreno-eurl-34651","346 ALLEE ALBERT EINSTEIN ESPACE MAGENTA, 71200 LE CREUSOT","0385785985","eurl.moreno@orange.fr","4125640640","41256406400027","10",775706,71,"61"
"ROUEFF LOIC EURL","https://www.qualibat.com/resultat-de-la-recherche/roueff-loic-eurl-184540","2462 ROUTE DES GALLANDS LES BULETS, 71580 SAGY","0632282485","loicroueff@yahoo.fr","8842995460","88429954600017","2",234000,71,"61"
"RIEUFORT SARL","https://www.qualibat.com/resultat-de-la-recherche/rieufort-sarl-33409","PLÂTRERIE PEINTURE 26 RUE DE LA GRILLE B.P. 122, 71404 AUTUN CEDEX","0385520394","sarl.rieufort@orange.fr","4157202420","41572024200049","33",2430000,71,"61"
"BOUILLARD JACKY SARL","https://www.qualibat.com/resultat-de-la-recherche/bouillard-jacky-sarl-33944","ROND POINT DES 2 ROCHES, 71960 PRISSE","0385239191","sarl.bouillard@orange.fr","3874591420","38745914200023","9",1100000,71,"61"
"SNEEB SARL","https://www.qualibat.com/resultat-de-la-recherche/sneeb-sarl-33782","BATIMENT - T.P., 71260 CHARBONNIERES","0385239650","gerant.sneeb71@orange.fr","3050098540","30500985400012","10",716571,71,"61"
"GAUTHIER  SARL","https://www.qualibat.com/resultat-de-la-recherche/gauthier-sarl-34514","1, IMPASSE DE LA NOUE SURMOULIN, 71400 DRACY ST LOUP","0385861279","thevsarl@wanadoo.fr","3825331310","38253313100027","3",152650,71,"61"
"O.C.T VAILLEAU","https://www.qualibat.com/resultat-de-la-recherche/o-c-t-vailleau-183677","17 RUE DE CRÉOT, 71200 LE CREUSOT","0385553805","oct.vailleau@gmail.com","8800350840","88003508400016","8",566000,71,"61"
"DUPONT SAS","https://www.qualibat.com/resultat-de-la-recherche/dupont-sas-34622","112 CHEMIN DE LA LECHERE, 71960 LA ROCHE VINEUSE","0385357488","dupont.sas@orange.fr","4390328060","43903280600028","15",1140000,71,"61"
"CARVALHO - GUAGENTI EURL","https://www.qualibat.com/resultat-de-la-recherche/carvalho---guagenti-eurl-187361","18B RUE DE L'ABBE PERROT, 71200 LE CREUSOT","0980547294","carvalho.guagenti@free.fr","8792283360","87922833600019","6",303564,71,"61"
